,Title,Event
1476,Panti Bliss: The necessity of normalizing queer love,TEDxDublin
1477,Lynne Elvins: The myths of gay adoption,TEDxBristol
1478,"Thomas Lloyd: Why am I ""so gay?""",TEDxGeorgetown
1479,Chrystina Russell: A path to higher education and employment for refugees,TED2020
1480,Jennifer L. Eberhardt: How racial bias works -- and how to disrupt it,TED2020
1481,Krishna Sudhir: What yoga does to your body and brain,TED-Ed
1482,Ofer Levy: The new science of personalized vaccines,TEDxBeaconStreet
1483,Katherine Eban: A dose of reality about generic drugs,TEDMED 2020
1484,Anees Bahji: Can steroids save your life?,TED-Ed
1485,Achim Steiner: The alliances needed to rebuild the developing world,TED2020
1486,Russell Wilson: My secret to staying focused under pressure,TED2020
1487,Rich Lesser: How businesses can plan for the road to recovery,Build Back Better
1488,Dan Kwartler: How fast can a vaccine be made?,TED-Ed
1489,Lucy Hone: 3 secrets of resilient people,TEDxChristchurch
1490,Louie Schwartzberg: The restorative potential of nature's beauty,TEDxKC
1491,"OK Go: ""All Together Now""",TED2020
1492,Shantell Martin: How drawing can set you free,TED2020
1493,Veronica Barassi: What tech companies know about your kids,TEDxMileHigh
1494,Alex Gendler: Which voting system is the best?,TED-Ed
1495,Yvonne Aki-Sawyerr: How to turn your dissatisfaction into action,TEDWomen 2019
1496,"Ibram X. Kendi: The difference between being ""not racist"" and antiracist",TED2020
1497,Nigel Topping: We need to green the economy while restarting it,TED2020
1498,Michael Green: How flags unite (and divide) us,TEDxTAMUSalon
1499,Prosanta Chakrabarty: What can DNA tests really tell us about our ancestry?,TED-Ed
1500,Dr. Phillip Atiba Solomon: The bill has come due for the US's history of racism,TED2020
1501,Rashad Robinson: How to channel your presence and energy into ending injustice,TED2020
1502,Dr. Bernice King: The US needs a radical revolution of values,TED2020
1503,Anthony D. Romero: The ACLU's call to defund the police,TED2020
1504,Iseult Gillespie: How to see more and care less: The art of Georgia O'Keeffe,TED-Ed
1505,Marcelo Mena: The economic benefits of climate action,TED2020
1506,Anastasia Penright: 5 steps to remove yourself from drama at work,TED@WellsFargo
1507,Peggy McIntosh: How to recognize your white privilege — and use it to fight inequality,TEDxTimberlaneSchools
1508,Gabriel Prieto: A day in the life of a Peruvian shaman,TED-Ed
1509,"Dr. Phillip Atiba Solomon, Rashad Robinson, Dr. Bernice King, Anthony D. Romero: The path to ending systemic racism in the US",TED2020
1510,Megan Ming Francis: We need to address the real roots of racial violence,TEDxRainier
1511,Sunil Prashara: How complex global organizations are adapting to our new reality,Build Back Better
1512,Karen DeSalvo: How tech companies can help combat the pandemic and reshape public health,TED2020
1513,William Sieghart: The connective potential of poetry,TEDxOxford
1514,"Cheryl Holder: The link between climate change, health and poverty",TEDMED 2020
1515,Joia Mukherjee: How to quickly scale up contact tracing across the US,TED2020
1516,Julia Shaw: How to support witnesses of harassment and build healthier workplaces,TEDxLondonWomen
1517,Alex Rosenthal: When is a pandemic over?,TED-Ed
1518,"Ben Pring: The new jobs of the future, and other insights on the changing workforce",Build Back Better
1519,Estelle Gibson: The true cost of financial dependence,TEDxDayton
1520,"Sierra Hull: ""Beautifully Out of Place""",TED2020
1521,David Witzeneder: The case for vermicomposting,TEDxParcDuCinquantenaire
1522,"Dan Schulman: What COVID-19 means for the future of commerce, capitalism and cash",TED2020
1523,Sara Jones: My story of love and loss as a transracial adoptee,TEDxSaltLakeCity
1524,Benjamin Seibold: What is phantom traffic and why is it ruining your life?,TED-Ed
1525,Nitish Padmanaban: Autofocusing reading glasses of the future,TEDxBeaconStreet
1526,Anne Marie Albano: How to raise kids who can overcome anxiety,TEDMED 2020
1527,Georges C. Benjamin: The secret weapon against pandemics,TED2020
1528,"Uri Alon: A COVID-19 ""exit"" strategy to end lockdown and reopen the economy",TED2020
1529,"Sascha Morrell: Why should you read ""Moby Dick""?",TED-Ed
1530,Kristine Tompkins: Let's make the world wild again,TED2020
1531,Charles P. Smith: How the US can address the tragedy of veteran suicide,TED@WellsFargo
1532,Alex Gendler: How do ventilators work?,TED-Ed
1533,Anne Basting: How to meaningfully reconnect with those who have dementia,TEDMED 2020
1534,Marah J. Hardt: Are we interrupting the kinky sex lives of fish?,TEDxMileHigh
1535,Kristalina Georgieva: How to rebuild the global economy,TED2020
1536,Dan Finkel: Can you solve the world's most evil wizard riddle?,TED-Ed
1537,Amy Milton: Can we edit memories?,TEDxCambridgeUniversity
1538,Beth Ann Fennelly: How literature can help us develop empathy,TEDxUniversityofMississippi
1539,Cella Wright: How do you know if you have a virus?,TED-Ed
1540,"Dean Furness: To overcome challenges, stop comparing yourself to others",TED@WellsFargo
1541,Poet Ali: The language of being human,TEDSummit 2019
1542,Elizabeth Cox: What is a coronavirus?,TED-Ed
1543,Norma Pimentel: Restoring human dignity at the US southern border,TEDWomen 2019
1544,"Darria Long: An ER doctor on triaging your ""crazy busy"" life",TEDxNaperville
1545,Kay Read: A day in the life of an Aztec midwife,TED-Ed
1546,Robin Steinberg and Manoush Zomorodi: The US is addicted to incarceration. Here's how to break the cycle,TEDWomen 2019
1547,Checking In with Susan David: Self-compassion for the self-critical,Checking In with Susan David
1548,Hailey Hardcastle: Why students should have mental health days,TEDxSalem
1549,Ricardo Iacub: Erotismo en la vejez,TEDxCordoba
1550,Pardis Sabeti and Christian Happi: A virus detection network to stop the next pandemic,TED2020
1551,Huang Hung: How American and Chinese values shaped the coronavirus response,TED2020
1552,"Mike Davis: What causes opioid addiction, and why is it so tough to combat?",TED-Ed
1553,Kade Crockford: What you need to know about face surveillance,TEDxCambridgeSalon
1554,Rob Cooke: The cost of work stress -- and how to reduce it,TED@WellsFargo
1555,Alex Rosenthal and Pall Thordarson: Which is better: Soap or hand sanitizer?,TED-Ed
1556,Laurel Braitman: The mental health benefits of storytelling for health care workers,TED2019
1557,Jim Collins: How we're using AI to discover new antibiotics,TED2020
1558,Brian A. Pavlac: What really happened during the Salem Witch Trials,TED-Ed
1559,"Skylar Tibbits: A new way to ""grow"" islands and coastlines",TED2019
1560,Cella Wright: This sea creature breathes through its butt,TED-Ed
1561,Daina Ramey Berry: The electrifying speeches of Sojourner Truth,TED-Ed
1562,"Dick M. Carpenter II: The injustice of ""policing for profit"" -- and how to end it",TEDxMileHigh
1563,Stefan C. Dombrowski: The dark history of IQ tests,TED-Ed
1564,"Nancy Lublin: Crisis support for the world, one text away",TED2020
1565,Larry Brilliant: A global pandemic calls for global solutions,TED2020
1566,Stefan Al: What happens if you cut down all of a city's trees?,TED-Ed
1567,Artūrs Miksons: The benefits of expressing your emotions (constructively),TEDxRiga
1568,Angel Chang: The wildly complex anatomy of a sneaker,TED-Ed
1569,Tom Rivett-Carnac: How to shift your mindset and choose your future,TED2020
1570,Oliver Jeffers: An ode to living on Earth,TED2020
1571,Elizabeth Camarillo Gutierrez: What's missing from the American immigrant narrative,TED@WellsFargo
1572,Lara Durgavich: An evolutionary perspective on human health and disease,TEDxTufts
1573,Ming Luke: What's the point(e) of ballet?,TED-Ed
1574,"Jacob Collier: Spectacular, glorious, musical wizardry",TED Connects
1575,"Ebony Roberts and Shaka Senghor: How to co-parent as allies, not adversaries",TEDxDetroit
1576,Sakinah Hofler: How to use creative writing to bear witness,TEDxUCincinnati
1577,"Alex Rosenthal: The Gauntlet | Think Like A Coder, Ep 8",TED-Ed
1578,"Diane Allen: How to find ""flow"" (and lose yourself in it)",TEDxNaperville
1579,Jim Tamm: First step to collaboration? Don't be so defensive!,TEDxSantaCruz
1580,Heather C. McGhee: Racism has a cost for everyone,TEDWomen 2019
1581,"Nadya Mason: How to spark your curiosity, scientifically",TED@NAS
1582,George Zaidan: The bug that poops candy,TED-Ed
1583,Riché D. Richardson: The hidden life of Rosa Parks,TED-Ed
1584,"Janet Iwasa: The wonders of the molecular world, animated",TED2019
1585,Karin Öberg: The galactic recipe for a living planet,TED@NAS
1586,Fareed Zakaria: How the coronavirus pandemic is changing the world,TED Connects
1587,Gayathri Vasudevan: How the coronavirus is impacting India -- and what needs to happen next,TED Connects
1588,Raj Panjabi: Investing in health care workers strengthens communities,We the Future
1589,Ray Dalio: What coronavirus means for the global economy,TED Connects
1590,Judy Grisel: How does alcohol make you drunk?,TED-Ed
1591,Marko Russiver: A global hackathon to take on the coronavirus pandemic,TED Connects
1592,Jeannie Suk Gersen: How understanding divorce can help your marriage,TEDWomen 2019
1593,Esther Choo: How health workers are responding to the COVID-19 pandemic,TED Connects
1594,Lindsay Morcom: A history of Indigenous languages -- and how to revitalize them,TEDxQueensU
1595,Shunan Teng: How the Monkey King escaped the underworld,TED-Ed
1596,Danielle Allen: An ethical plan for ending the pandemic and restarting the economy,TED Connects
1597,Noah Charney: The art forger who tricked the Nazis,TED-Ed
1598,"Yifat Susskind: In uncertain times, think like a mother",TEDWomen 2019
1599,Alexandra Auer: The intangible effects of walls,TEDxEindhoven
1600,Elizabeth Gilbert: It's OK to feel overwhelmed. Here's what to do next,TED Connects
1601,"Butterscotch: ""Accept Who I Am""",TEDWomen 2019
1602,Ethan Lisi: What it's really like to have autism,TED-Ed Weekend
1603,Daniel Finkel: Can you solve the sea monster riddle?,TED-Ed
1604,Matt Walker: Why sleep matters now more than ever,TED Connects
1605,"Sonia Shah: How to make pandemics optional, not inevitable",TED Connects
1606,Mary Ellen Hannibal: How you can help save the monarch butterfly -- and the planet,TEDWomen 2019
1607,Todd Dufresne: History vs. Sigmund Freud,TED-Ed
1608,Rabbi Lord Jonathan Sacks: How we can navigate the coronavirus pandemic with courage and hope,TED Connects
1609,Martha Minow: How forgiveness can create a more just legal system,TEDWomen 2019
1610,Priya Parker: How to create meaningful connections while apart,TED Connects
1611,Alex Gendler: How the world's longest underwater tunnel was built,TED-Ed
1612,Elisabeth Pierre: Et si la bière était féminine ? | Elisabeth Pierre | TEDxToulouse,TEDxToulouse
1613,Alicia Malone: The overlooked legacy of Hollywood's first women directors,TEDxBend
1614,Kathy Kleiman: The pioneering women who helped create modern computing,TEDxBeaconStreet
1615,Seth Berkley: The quest for the coronavirus vaccine,TED Connects
1616,Hindou Oumarou Ibrahim: Indigenous knowledge meets science to take on climate change,TEDWomen 2019
1617,Gary Liu: What the world can learn from China's response to the coronavirus,TED Connects
1618,Anees Bahji: What is schizophrenia?,TED-Ed
1619,Noeline Kirabo: 2 questions to uncover your passion -- and turn it into a career,TEDWomen 2019
1620,Bill Gates: How we must respond to the coronavirus pandemic,TED Connects
1621,"Johanna Figueira: Simple, effective tech to connect communities in crisis",TED@WellsFargo
1622,Stefan Al: Why isn't the Netherlands underwater?,TED-Ed
1623,David Lindell: A camera that can see around corners,TEDxBeaconStreet
1624,Susan David: How to be your best self in times of crisis,TED Connects
1625,Soraya Field Fiorio: Who was the world's first author?,TED-Ed
1626,"Molly Webster: The weird history of the ""sex chromosomes""",TED@NAS
1627,"Charlie Jane Anders: Go ahead, dream about the future",TEDWomen 2019
1628,Matteo Salvadore: The imaginary king who changed the real world,TED-Ed
1629,Angie Murimirwa: How repaying loans with social service transforms communities,TEDWomen 2019
1630,"Eric Sannerud: Without farmers, you'd be hungry, naked and sober",TEDxStCloud
1631,Patrick Lencioni: Are you an ideal team player?,TEDxUniversityofNevada
1632,Mark Lytle: How one scientist took on the chemical industry,TED-Ed
1633,Lucy Farey-Jones: A fascinating time capsule of human feelings toward AI,TED2019
1634,Alanna Shaikh: Why COVID-19 is hitting us now -- and how to prepare for the next outbreak,TEDxSMU
1635,Adam Kucharski: How can we control the coronavirus pandemic?,The TED Interview
1636,Gerry Wright: How can we solve the antibiotic resistance crisis?,TED-Ed
1637,Ananya Grover: A campaign for period positivity,TED-Ed Weekend
1638,David Wallace-Wells: How we could change the planet's climate future,We the Future
1639,"Jim Hudspeth: The beautiful, mysterious science of how you hear",TED@NAS
1640,Rosario Perazolo Masjoan: ¿Cuándo te importa mi silla de ruedas?,TEDxCordoba
1641,Iseult Gillespie: The tale of the doctor who defied Death,TED-Ed
1642,Elizabeth Stordeur Pryor: Why it's so hard to talk about the N-word,TEDxEasthamptonWomen
1643,Nicola Jones: The dangers of a noisy ocean -- and how we can quiet it down,TEDSummit 2019
1644,Iseult Gillespie: The meaning of life according to Simone de Beauvoir,TED-Ed
1645,WorkLife with Adam Grant: The real reason you procrastinate,WorkLife with Adam Grant
1646,Lisa Mosconi: How menopause affects the brain,TEDWomen 2019
1647,Matt Cutts: What happens when a Silicon Valley technologist works for the government,TED2019
1648,"Ming Luke: What's a squillo, and why do opera singers need it?",TED-Ed
1649,France Villarta: The gender-fluid history of the Philippines,TED@WellsFargo
1650,Agnes Binagwaho: How women are revolutionizing Rwanda,TEDWomen 2019
1651,Matt Porter and Margaret Hamilton: NASA's first software engineer: Margaret Hamilton,TED-Ed
1652,Kay M. Tye: What investigating neural pathways can reveal about mental health,TED@NAS
1653,Jill Seubert: How a miniaturized atomic clock could revolutionize space exploration,TEDxUCLA
1654,Jiabao Li: Art that reveals how technology frames reality,TEDWomen 2019
1655,David Heymann: What we do (and don't) know about the coronavirus,Currently
1656,Alex Gendler: Can you solve the death race riddle?,TED-Ed
1657,"Chuck Plunkett: When local news dies, so does democracy",TEDxMileHigh
1658,Alex Gendler: The Egyptian myth of Isis and the seven scorpions,TED-Ed
1659,Renée Lertzman: How to turn climate anxiety into action,TEDWomen 2019
1660,Eva Galperin: What you need to know about stalkerware,TEDWomen 2019
1661,"Alex Rosenthal: The Tower of Epiphany | Think Like A Coder, Ep 7",TED-Ed
1662,Amanda Schochet: How bumble bees inspired a network of tiny museums,TED@NAS
1663,Wanjira Mathai: 3 ways to uproot a culture of corruption,We the Future
1664,Rebecca Knill: How technology has changed what it's like to be deaf,TED@WellsFargo
1665,Sara Sanford: How to design gender bias out of your workplace,TEDxSeattle
1666,Gerd Gigerenzer: Why do people fear the wrong things?,TED-Ed
1667,Fang Ruan: Management lessons from Chinese business and philosophy,TED@BCG Mumbai
1668,"Kenny Coogan: Vultures: The acid-puking, plague-busting heroes of the ecosystem",TED-Ed
1669,Kristen Wenz: What if a single human right could change the world?,We the Future
1670,Curtis Austin: The real story of the Black Panther Party,TEDxOhioStateUniversity
1671,Diego Prilusky: How volumetric video brings a new dimension to filmmaking,TEDSummit 2019
1672,Clarice Phelps: How I claimed a seat at the periodic table,TEDxNashvilleWomen
1673,Jesse Byock: The secret messages of Viking runestones,TED-Ed
1674,Jennifer Zhu Scott: Why you should get paid for your data,TEDWomen 2019
1675,Bill Schutt: How do blood transfusions work?,TED-Ed
1676,María Neira: This is your brain on air pollution,TEDSummit 2019
1677,"Joel Leon: The beautiful, hard work of co-parenting",TEDWomen 2019
1678,Lauren Sallan: A brief tour of the last 4 billion years (dinosaurs not included),TEDSummit 2019
1679,Yve Blake: For the love of fangirls,TEDxSydney
1680,Yves Béhar: How surfboards connect us to nature,Small Thing Big Idea
1681,Jon Gray: The power of the Afro pick,Small Thing Big Idea
1682,Chip Kidd: Why books are here to stay,Small Thing Big Idea
1683,Jennifer 8. Lee: Why 1.5 billion people eat with chopsticks,Small Thing Big Idea
1684,Debbie Millman: The function and fashion of eyeglasses,Small Thing Big Idea
1685,David Biello: How the compass unlocked the world,Small Thing Big Idea
1686,A.J. Jacobs: The evolution of the coffee cup lid,Small Thing Big Idea
1687,Paola Antonelli: Why pasta comes in all shapes and sizes,Small Thing Big Idea
1688,Debbie Millman: How symbols and brands shape our humanity,TEDWomen 2019
1689,Raghuram Rajan: How to revive and empower local communities,TEDSummit 2019
1690,Noelle Martin: Online predators spread fake porn of me. Here's how I fought back,TEDxPerth
1691,"Antara Raychaudhuri and Iseult Gillespie: The legend of Annapurna, Hindu goddess of nourishment",TED-Ed
1692,Victoria Gill: What a nun can teach a scientist about ecology,TED@NAS
1693,Lisa Godwin: How teachers can help students navigate trauma,TED Masterclass
1694,Alex Gendler: Epic Engineering: Building the Brooklyn Bridge,TED-Ed
1695,"Amane Dannouni: How online marketplaces can help local economies, not hurt them",TED@BCG Mumbai
1696,Allison Ramsey and Mary Staicu: The accident that changed the world,TED-Ed
1697,César Cuauhtémoc García Hernández: Why immigration prisons aren't the answer,TEDxMileHigh
1698,Alicia Eggert: Imaginative sculptures that explore how we perceive reality,TEDSummit 2019
1699,Robert Reffkin: 5 ways to create stronger connections,The Way We Work
1700,Chieh Huang: How to know if it's time to change careers,The Way We Work
1701,Emily Oster: 3 things new parents should consider before going back to work,The Way We Work
1702,Thasunda Duckett: 6 ways to improve your relationship with money,The Way We Work
1703,LeeAnn Renninger: The secret to giving great feedback,The Way We Work
1704,Liz Fosslien: How to embrace emotions at work,The Way We Work
1705,Rahaf Harfoush: How burnout makes us less creative,The Way We Work
1706,Patrick McGinnis: How to make faster decisions,The Way We Work
1707,Paul Franklin: The art and science of special effects,TEDxLondon
1708,Gemma Jackson: How I bring imagined worlds to life,TEDxDublin
1709,Alex Gendler: Everything changed when the fire crystal got stolen,TED-Ed
1710,Bogolo Joy Kenewendo: How history erases women,TEDxCapeTownWomen
1711,Lucy King: How bees can keep the peace between elephants and humans,TEDWomen 2019
1712,Smruti Jukur Johari: What if the poor were part of city planning?,TEDWomen 2019
1713,Jennifer Vail: The science of friction -- and its surprising impact on our lives,TED@DuPont
1714,Matthew A. Wilson: The health benefits of clowning around,TED Residency
1715,Jay Van Bavel: Do politics make us irrational?,TED-Ed
1716,Paul McEuen and Marc Miskin: Tiny robots with giant potential,TED@NAS
1717,"Lisa Janae Bacon: The life, legacy & assassination of an African revolutionary",TED-Ed
1718,David Ikard: The real story of Rosa Parks -- and why we need to confront myths about Black history,TEDxNashville
1719,Angelica Dass: Usando la fotografía para celebrar los diferentes tonos y colores de la humanidad,TEDxMadrid
1720,Rayma Suprani: Dictators hate political cartoons -- so I keep drawing them,TEDWomen 2019
1721,"Alex Rosenthal: The Chasm | Think Like A Coder, Ep 6",TED-Ed
1722,Ellen Agler: Parasitic worms hold back human progress. Here's how we can end them,TED2019
1723,Sylvain Duranton: How humans and AI can work together to create better businesses,TED@BCG Mumbai
1724,Jessica Ochoa Hendrix: How virtual reality turns students into scientists,TED Residency
1725,"Christopher Bahl: A new type of medicine, custom-made with tiny proteins",TED2019
1726,Kenny Coogan: Licking bees and pulping trees: The reign of a wasp queen,TED-Ed
1727,Melody Smith: How bones make blood,TED-Ed
1728,Werner Reich: How the magic of kindness helped me survive the Holocaust,TEDxMidAtlantic
1729,Carl Honoré: Why we should embrace aging as an adventure,TEDSummit 2019
1730,Jinha Lee: A holographic meeting platform for collaborating from anywhere,TED Salon Brightline Initiative
1731,Angelicque White: What ocean microbes reveal about the changing climate,TED@NAS
1732,"Djazia Satour: ""Neghmat Erriah"" / ""Ghounia""",TEDSummit 2019
1733,"Findlay Napier and Gillian Frame: ""Jamie Raeburn"" / ""Baloo Baleerie"" / ""Twa recruitin Sergeants""",TEDSummit 2019
1734,"Blitz Bazawule: ""Wahala"" / ""Make You No Forget"" / ""Best I Can""",TEDSummit 2019
1735,"ELEW and Marcus Miller: Entropy, order and the theory of the multiverse",TEDSummit 2019
1736,"Min Kym: ""Meditation from Thais""",TEDSummit 2019
1737,Mariana Lin: How we can bring AI personalities to life,TEDSummit 2019
1738,Sonia Livingstone: Parenting in the digital age,TEDSummit 2019
1739,Carl Joshua Ncube: Tales of a Zimbabwean comedian,TEDSummit 2019
1740,Mackenzie Dalrymple: Three stories of Scotland,TEDSummit 2019
1741,Fay Bound Alberti: A historical journey through loneliness,TEDSummit 2019
1742,Marilyn Waring: The unpaid work that GDP ignores -- and why it really counts,TEDxChristchurch
1743,Michael R. Stiff: Why is cotton in everything?,TED-Ed
1744,Erin Sullivan: Does photographing a moment steal the experience from you?,TED Salon Brightline Initiative
1745,Priscilla Pemu: A personal health coach for those living with chronic diseases,TED Residency
1746,Stuart Oda: Are indoor vertical farms the future of agriculture?,TED Salon Brightline Initiative
1747,Jan Bill: What was so special about Viking ships?,TED-Ed
1748,Adam Garske: How designing brand-new enzymes could change the world,TED@DuPont
1749,Fahad Saeed: The importance of using inclusive language,TEDxCopenhagen
1750,Jen Gunter: Why can't we talk about periods?,TEDWomen 2019
1751,Rachel Kleinfeld: A path to security for the world's deadliest countries,TEDSummit 2019
1752,"Walter R. Tschinkel: Mating frenzies, sperm hoards, and brood raids: The life of a fire ant queen",TED-Ed
1753,Priti Krishtel: Why are drug prices so high? Investigating the outdated US patent system,TEDWomen 2019
1754,Juan Pablo Sáez Gil: La magia de los palíndromos,TEDxBahiaBlanca
1755,Daniel Krawczyk: Why we collect things,TEDxSMU
1756,Markus Mutz: How supply chain transparency can help the planet,TED@BCG Mumbai
1757,David J. Bier: How guest worker visas could transform the US immigration system,TED Salon Border Stories
1758,Tom Nash: The perks of being a pirate,TEDxSydney
1759,"Alex Rosenthal: The Artists | Think Like A Coder, Ep 5",TED-Ed
1760,"Suzanne Lee: Why ""biofabrication"" is the next industrial revolution",TEDSummit 2019
1761,Marco Tempest: A swarm of mini drones makes ... magic!,TEDSummit 2019
1762,Alex Gendler: Can you solve the dragon jousting riddle?,TED-Ed
1763,Colette Pichon Battle: Climate change will displace millions. Here's how we prepare,TEDWomen 2019
1764,Anna Piperal: What a digital government looks like,TEDSummit 2019
1765,Eden Girma: The mysterious life and death of Rasputin,TED-Ed
1766,Emma Schachner: The secret weapon that let dinosaurs take over the planet,TEDxLSU
1767,Leon Marchal: The urgent case for antibiotic-free animals,TED@DuPont
1768,Julian Burschka: Could a breathalyzer detect cancer?,TED-Ed
1769,Risa Wechsler: The search for dark matter -- and what we've found so far,TED@NAS
1770,"Mitch Zeller: The past, present and future of nicotine addiction",TEDxMidAtlantic
1771,"Anindya Kundu: The ""opportunity gap"" in US public education -- and how to close it",TED Residency
1772,"Ipsita Dasgupta: To challenge the status quo, find a ""co-conspirator""",TED@BCG Mumbai
1773,Rod Phillips: A brief history of alcohol,TED-Ed
1774,Pat Mitchell: Dangerous times call for dangerous women,TEDWomen 2019
1775,Cara E. Yar Khan: The beautiful balance between courage and fear,TEDWomen 2019
1776,Valorie Kondos Field: Why winning doesn't always equal success,TEDWomen 2019
1777,Guy Winch: How to turn off work thoughts during your free time,TED Salon Brightline Initiative
1778,William D. Desmond: The philosophy of cynicism,TED-Ed
1779,Nick Bostrom: How civilization could destroy itself -- and 4 ways we could prevent it,TED2019
1780,Diego Prilusky: ¿Como será el cine del futuro?,TEDxRiodelaPlata
1781,Coby Everton: The importance of queer allyship in the classroom,TEDxYouth@Beaconstreet
1782,Jasmine Crowe: What we're getting wrong in the fight to end hunger,TEDWomen 2019
1783,Sinan Aral: How we can protect truth in the age of misinformation,TEDxCERN
1784,"Dan Kwartler: Why should you read ""Dune"" by Frank Herbert?",TED-Ed
1785,Enrico Ramirez-Ruiz: Your body was forged in the spectacular death of stars,TED@NAS
1786,"Sheila Marie Orfano: Why should you read ""The Joy Luck Club"" by Amy Tan?",TED-Ed
1787,Henna-Maria Uusitupa: How the gut microbes you're born with affect your lifelong health,TED@DuPont
1788,Kings Floyd: The cost of failing to design accessibly,TEDxDirigo
1789,Kelsey Leonard: Why lakes and rivers should have the same rights as humans,TEDWomen 2019
1790,"Bright Simons: To help solve global problems, look to developing countries",We the Future
1791,"Jill Dash: Why should you read ""Lord of the Flies"" by William Golding?",TED-Ed
1792,Lorna Davis: A guide to collaborative leadership,TED@BCG Mumbai
1793,Christiana Figueres and Chris Anderson: How we can turn the tide on climate,Countdown
1794,Tal Danino: Hacking bacteria to fight cancer,TED-Ed
1795,"Mariana Mazzucato: What is economic value, and who creates it?",TEDSummit 2019
1796,Edward Tenner: The paradox of efficiency,TED2019
1797,Jane Fonda: Why I protest for climate justice,TEDWomen 2019
1798,Alexander Leitner: Can time be wasted?,TEDxVienna
1799,Kathryn Bouskill: The unforeseen consequences of a fast-paced world,TEDxManhattanBeach
1800,"Alex Rosenthal: The Train Heist | Think Like A Coder, Ep 4",TED-Ed
1801,Dolores Huerta: What we can learn from the history of feminism,TEDxOakland
1802,Eve Ensler: The profound power of an authentic apology,TEDWomen 2019
1803,Hyunsoo Joshua No: How does chemotherapy work?,TED-Ed
1804,Cornelia Geppert: A video game that helps us understand loneliness,TED Salon Brightline Initiative
1805,Kelsey Johnson: The problem of light pollution -- and 5 ridiculously easy ways to fix it,TED@NAS
1806,Alex Gendler: Why doesn't the Leaning Tower of Pisa fall over?,TED-Ed
1807,Kara Logan Berlin: 3 ways to be a more effective fundraiser,TEDxSantaClaraUniversity
1808,Heidi Boisvert: How I'm using biological data to tell better stories -- and spark social change,TED Residency
1809,Chris A. Kniesly: How corn conquered the world,TED-Ed
1810,Anees Bahji: Is marijuana bad for your brain?,TED-Ed
1811,Alejandro Durán: How I use art to tackle plastic pollution in our oceans,We the Future
1812,Meghana Ranganathan: Our history and future in ice,TEDxBocaRaton
1813,Cathy Mulzer: The incredible chemistry powering your smartphone,TED@DuPont
1814,Roselinde Kaiser: The lifetime stakes of teen mental health,TEDxBoulder
1815,Mike Cannon-Brookes: How you can use impostor syndrome to your benefit,TEDxSydney
1816,Deepa Narayan: 7 beliefs that can silence women -- and how to unlearn them,TED Talks India: Nayi Baat
1817,Alex Gendler: Can you outsmart this logical fallacy?,TED-Ed
1818,Sougwen Chung: Why I draw with robots,TED@BCG Mumbai
1819,Emily Anhalt: Why we should all try therapy,TEDxBoulder
1820,Mike Brown: The search for our solar system's ninth planet,TED@NAS
1821,"Theresa A. Yugar: History's ""worst"" nun",TED-Ed
1822,Daniel Bögre Udell: How to save a language from extinction,TED Residency
1823,Arjan Dwarshuis: What birdspotting can teach us about conservation,TEDxAmsterdam
1824,"LaToya Ruby Frazier: A creative solution for the water crisis in Flint, Michigan",We the Future
1825,Emma Belcher: 3 questions we should ask about nuclear weapons,TEDxMidAtlantic
1826,Dan Reinstein: How does laser eye surgery work?,TED-Ed
1827,David Asch: Why it's so hard to make healthy decisions,TEDMED 2018
1828,Arunabha Ghosh: 5 steps for clean air in India,TED Talks India: Nayi Baat
1829,"Alex Rosenthal: The Furnace Bots | Think Like A Coder, Ep 3",TED-Ed
1830,Guadalupe Nogués: Como hablar con otros que piensan distinto,TEDxRiodelaPlata
1831,Jean-Manuel Izaret: A new Netflix-style pricing model that could make medical treatments affordable for all,TED@BCG Mumbai
1832,Dan Ariely:  How to change your behavior for the better,TED Salon Brightline Initiative
1833,Gaby Barrios: Why gender-based marketing is bad for business,TED@BCG Mumbai
1834,Juniper Fitzgerald: Why we need to stop stigmatizing mothers who do sex work,TEDxBoulder
1835,Dorsa Amir: How the Industrial Revolution changed childhood,TEDxCambridge
1836,Alex Gendler: The myth of Loki and the master builder,TED-Ed
1837,Erika Pinheiro: What's really happening at the US-Mexico border -- and how we can do better,TED Salon Border Stories
1838,Sydney Jensen: How can we support the emotional well-being of teachers?,TED Masterclass
1839,Cady Coleman: What it's like to live on the International Space Station,TED2019
1840,"Adar Cohen: 3 ways to lead tough, unavoidable conversations",TEDxKeene
1841,Lara Maiklem: Trash or historical artifact?,TEDxNewcastle
1842,"Craig Costello: In the war for information, will quantum computers defeat cryptographers?",TEDxSydney
1843,Peter Beck: Small rockets are the next space revolution,TED2019
1844,Céline Valéry: The dangers of mixing drugs,TED-Ed
1845,Mani Vajipey: How India's local recyclers could solve plastic pollution,TED Talks India: Nayi Baat
1846,Dorsa Amir: Why do humans have a third eyelid?,TED-Ed
1847,Rabiaa El Garani: Hope and justice for women who've survived ISIS,TEDMED 2018
1848,Kaitlyn Sadtler and Heather J. Faust: Why haven't we cured arthritis?,TED-Ed
1849,Amma Y. Ghartey-Tagoe Kootin: A historical musical that examines Black identity in the 1901 World's Fair,TED2019
1850,"Ma Yansong: Urban architecture inspired by mountains, clouds and volcanoes",TEDSummit 2019
1851,Eli Pariser:  What obligation do social media platforms have to the greater good?,TEDSummit 2019
1852,"Martha Redbone: ""Sleep Sleep Beauty Bright""",TED Salon: Border Stories
